ligand,display,category,scope,formal_charge,nitrogen_atoms,has_permanent_cation,has_anion,heavy_atoms,mol_wt,SMILES,max_response,hit_breadth_03,hit_breadth_10,any_hit_03,any_hit_10
folic acid,folic acid,Metabolites,non-alkaloid uncharged,0,7,False,False,32,441.40400000000017,NC1=NC2=NC=C(CNC3=CC=C(C(=O)NC(CCC(=O)O)C(=O)O)C=C3)N=C2C(=O)N1,0.5483034363,4,0,True,False
bilirubin,bilirubin,Metabolites,non-alkaloid uncharged,0,3,False,False,30,407.47000000000025,CC1=C(C(C)=C(N1)C=C2C(=O)NC(=C2C)C=C3NC(=O)C(=C3C)C=C)CCC(=O)O,0.6200084068,1,0,True,False
aspartame,aspartame,Metabolites,non-alkaloid uncharged,0,2,False,False,21,294.307,COC(=O)C(CC1=CC=CC=C1)NC(=O)C(N)CC(=O)O,0.2842698588,0,0,False,False
D-neopterin,D-neopterin,Metabolites,non-alkaloid uncharged,0,6,False,False,19,268.233,NC1=NC(=O)C2=C(N1)N=C(C(O)C(O)CO)N=C2N,0.1722935673,0,0,False,False
citrulline,citrulline,Metabolites,non-alkaloid uncharged,0,3,False,False,12,175.188,C(C[C@@H](C(=O)O)N)CNC(=O)N,0.1533477322,0,0,False,False
uric acid,uric acid,Metabolites,non-alkaloid uncharged,0,4,False,False,12,168.112,C12=C(NC(=O)N1)NC(=O)NC2=O,0.0755939525,0,0,False,False
"L-glutathione, reduced","L-glutathione, reduced",Metabolites,non-alkaloid uncharged,0,3,False,False,20,307.32800000000003,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,0.01739130434,0,0,False,False
creatinine,creatinine,Metabolites,non-alkaloid uncharged,0,3,False,False,8,113.12,CN1CC(=O)N=C1N,0.007480314957,0,0,False,False
taurine,taurine,Metabolites,non-alkaloid uncharged,0,1,False,False,7,125.149,C(CS(=O)(=O)O)N,-0.03267716535,0,0,False,False
tyramine,tyramine,Neurotransmitters,non-alkaloid uncharged,0,1,False,False,10,137.18199999999996,NCCC1=CC=C(O)C=C1,0.4110574734,1,0,True,False
L-dopa,L-dopa,Neurotransmitters,non-alkaloid uncharged,0,1,False,False,14,197.18999999999997,NC(CC1=CC(O)=C(O)C=C1)C(=O)O,0.1950718687,0,0,False,False
dopamine,dopamine,Neurotransmitters,non-alkaloid uncharged,0,1,False,False,11,153.18099999999998,NCCC1=CC(O)=C(O)C=C1,0.1779013204,0,0,False,False
carbadopa,carbadopa,Neurotransmitters,non-alkaloid uncharged,0,2,False,False,16,226.232,C[C@](CC1=CC(=C(C=C1)O)O)(C(=O)O)NN,0.1148564295,0,0,False,False
(–)-Norepinephrine (bitartrate hydrate),norepinephrine,Neurotransmitters,non-alkaloid uncharged,0,1,False,False,23,337.2810000000001,C1=CC(=C(C=C1[C@H](CN)O)O)O.[C@@H]([C@H](C(=O)O)O)(C(=O)O)O.O,0.04347826092,0,0,False,False
(-)-epinepherine (+)-bitartrate salt,epinephrine,Other,non-alkaloid uncharged,0,1,False,False,13,183.207,CNCC(O)C1=CC(O)=C(O)C=C1,0.4239054899,2,0,True,False
milirinone,milirinone,Other,non-alkaloid uncharged,0,5,False,False,23,305.34100000000007,CC1=C(C=C(C#N)C(=O)N1)C2=CC=C(C=C2)C3=CN=C(NC3)N,0.549132948,1,0,True,False
methylsilanetriol (MST),methylsilanetriol (MST),Other,non-alkaloid uncharged,0,0,False,False,5,94.14199999999998,C[Si](O)(O)O,0.2218235804,0,0,False,False
D-(+)-glucosamine hydrochloride,glucosamine,Other,non-alkaloid uncharged,0,1,False,False,13,215.633,C([C@H]([C@H]([C@@H]([C@H](C=O)N)O)O)O)O.Cl,0.1144708423,0,0,False,False
