file,sheet,output,reason,excluded_wells
20240725_mehp_estradiol_cc93_3xpbsph7.xlsx,MEHP,mehp_cc93.csv,excluded weak/negative extra curve,
20240730_aspartame_iLevaSnFR_3xpbsph7.xlsx,aspartame,aspartame_iLevaSnFR.csv,excluded weak/negative extra curve,
20240730_bilirubin_v4.8.1.2_3xpbsph7.xlsx,bilirubin,bilirubin_v4.8.1.2.csv,excluded weak/negative extra curve,
20240730_theobromine_tap10_3xpbsph7.xlsx,theobromine,theobromine_tap1.0.csv,excluded weak/negative extra curve,
20240726_thiamine_ciprofloxacin_iEscSnFR_3xpbsph7.xlsx,cipro,cipro_iEscSnFR.csv,bad ciprofloxacin H2 well; 200 uM point recomputed from remaining 2 replicates,H2
20240726_thiamine_ciprofloxacin_V7_3xpbsph7.xlsx,cipro,cipro_v7.csv,bad ciprofloxacin H2 well; 200 uM point recomputed from remaining 2 replicates,H2
20240726_ciprofloxacin_V7.1_3xpbsph7.xlsx,cipro,cipro_v7.1.csv,bad ciprofloxacin H2 well; 200 uM point recomputed from remaining 2 replicates,H2
20240726_thiamine_ciprofloxacin_V9_3xpbsph7.xlsx,cipro,cipro_v9.csv,bad ciprofloxacin H2 well; 200 uM point recomputed from remaining 2 replicates,H2
