ligand,AK1,cc93,Fent2 436L,iCytBrEtSnFR,iCytSnFR,iEscSnFR,iFloxSnFR,iLevaphenolSnFR1.0,L194,Tap1.0,V4.8.1.2,v4.6,V6,V7,V7.1,V7.1.2,V8,V9
DEET,,,,,,,,,,,,,,,,,,
uric acid,,,,,,,,,,,,,,,,,,
sodium L-lactate,,,,,,,,,,,,,,,,,,
creatinine,,,,,,,,,,,,,,,,,,
taurine,,,,,,,,,,,,,,,,,,
D-(+)-glucosamine hydrochloride,,,,,,,,,,,,,,,,,,
L-carnosine,,,,,,,,,,,,,,,,,,
l-carnitine,,,,,,,,,,,,,,,,,,
everolimus,0.0524145176788978,0.0492846176282378,0.0387814388594956,0.0267120265316268,0.0226194078355815,0.133288371379346,0.046723911803453,0.0628282490027371,0.0368320709694755,0.0846343748747786,0.0702562874572733,0.0187221537766401,0.0331957555488886,0.0878744544052634,0.0288700247454328,0.0747074840550381,0.0744273938173286,0.0651413726596013
cyclosporin A,0.035439023482703,0.0118349376529708,0.0638197461592218,0.0248255309340856,0.0349133061145909,0.0425363722956884,0.0455082769424965,0.0354279963681064,0.0428285498925527,0.074327934691061,0.0553790131390861,0.0402885407167558,0.021962967472444,0.0118080248794562,0.0300667917424835,0.0377904455494484,0.0494583421232156,0.0343291737192164
Atrazine,0.3027250151507301,0.034841113080165,0.0397735631627921,0.0129713603493454,0.0331166480118141,0.038701452064915,0.0389328739062798,0.018228295961394,0.0413481761074873,0.0790026181363351,0.0803047992633245,0.0291541205315954,0.0341333244775329,0.0339941708802327,0.0130480492981157,0.0922107659994878,0.1890729077262709,0.0259083766721615
tyramine,0.0766875673573122,0.172260014456402,0.0281277551988739,0.0176312542196626,0.0430108436289274,0.1465157233575867,0.0364718753251692,0.4590273348190637,0.1071997833792163,0.0725266775112871,0.16550220777146,0.0651177465841901,0.1704442404511376,0.1707055041298568,0.1019326238783706,0.1134707680807644,1.0000027421989095,0.0701945370952553
carbamazepine,0.0571832857223918,0.0237437284492278,0.0402188299909067,0.0172807216269558,0.030301623950086,0.0301512044271037,0.0375254692711355,0.0819240902536641,0.0567257322734196,0.0847351367816242,0.0602384427223512,0.0547986192438802,0.0531399685989328,0.0200033869570303,0.0235702088082884,0.0689338442700589,0.0725239464635163,0.0311093084981124
melatonin,0.0235136609094592,0.0246482288897118,0.0719154151712344,0.0299802957426795,0.6389613175586176,0.040190580703888,0.0378372662978988,0.2161499660248823,0.0591252195565971,0.0771446158483461,0.0597026617522198,0.0644069171752845,0.0330034386264174,0.0217516247793968,0.0472278037171205,0.0818119534002977,0.0709953461116946,0.0519187291485919
phenytoin,0.0282082453184866,0.0490888428678931,0.0574952562364486,0.023537115727951,0.0408974736134609,0.0462322162752214,0.0408263775519573,0.1274055206498392,0.0408427961382565,0.0832621551227378,0.0590999273510541,0.0165240901507356,0.0223934985321409,0.009587649237795,0.0405538550371213,0.0454322556606693,0.118353899507592,0.0564744430125159
colchicine,0.042039498933652,0.0416611098711689,0.0226427084271262,0.0142853060982591,0.0571726908077067,0.0226334375268532,0.0402302699758655,0.0796820503400733,0.0528020222446154,0.0877041804021023,0.0861082414874636,0.0239339563058481,0.0332914973755792,0.0496246906891947,0.0321562662846134,0.030246377285852,0.0521570432234727,0.0590011763213855
lamotrigine,,0.0326087791842757,0.0401076103493619,0.0368565202803092,0.0247474307901905,0.0742321373293489,0.0512384815014355,0.0880227008922234,0.0354168727170643,0.0877041804021023,0.0677280901669144,0.0246441671351123,0.0455969258263808,0.036587938263975,0.0348355820659849,0.0423134628822131,0.0698662009078491,0.0246600844110941
17 beta estradiol,0.0624122521997969,0.0375654418808684,0.0422500235515957,0.1702696392656857,0.0789998734379895,0.0829597495521053,0.0505582167092644,0.1064116806769488,0.0450110766396131,0.0938153129588998,0.050560952683485,0.0382293436379397,0.0331157592331804,0.0301271180861041,0.0215765011130728,0.02902158827651,0.087061500215167,0.0305268981635781
